L,h,C_max
10,21,48.1018066406
10,24,42.3706054688
10,27,37.9577636719
10,30,34.4604492188
10,33,31.6223144531
10,36,29.296875
10,39,27.3559570312
10,42,25.7263183594
10,45,24.3530273438
10,48,23.1628417969
10,51,22.1557617188
10,54,21.2768554688
10,57,20.5261230469
10,60,19.8669433594
10,63,19.3176269531
10,66,18.8415527344
10,69,18.4387207031
10,72,18.0908203125
10,75,17.8161621094
10,78,17.5964355469
10,81,17.4133300781
10,84,17.3034667969
10,87,17.2302246094
10,90,17.2119140625
10,93,17.2302246094
10,96,17.3034667969
10,99,17.4133300781
10,102,17.578125
10,105,17.8161621094
10,108,18.0908203125
10,111,18.4204101562
10,114,18.8232421875
10,117,19.2993164062
10,120,19.8486328125
10,123,20.5078125
10,126,21.240234375
10,129,22.119140625
10,132,23.1262207031
10,135,24.2797851562
10,138,25.6530761719
10,141,27.2277832031
10,144,29.0954589844
10,147,31.2927246094
10,150,33.8562011719
10,153,36.767578125
10,156,39.9169921875
10,159,42.6086425781
10,162,43.8354492188
10,165,44.0368652344
10,168,43.7072753906
10,171,43.1579589844
10,174,42.5170898438
10,177,41.8762207031
10,180,41.1987304688
10,183,40.5395507812
10,186,39.8620605469
10,189,39.1845703125
10,192,38.525390625
10,195,37.8845214844
10,198,37.2619628906
10,201,36.6760253906
10,204,36.1083984375
10,207,35.595703125
10,210,35.1013183594
10,213,34.6618652344
10,216,34.27734375
10,219,33.9294433594
10,222,33.6364746094
10,225,33.4167480469
10,228,33.2336425781
10,231,33.10546875
10,234,33.0505371094
10,237,33.0505371094
10,240,33.1237792969
10,243,33.251953125
10,246,33.4350585938
10,249,33.7097167969
10,252,34.0576171875
10,255,34.4604492188
10,258,34.9731445312
10,261,35.595703125
10,264,36.3647460938
10,267,37.2619628906
10,270,38.3056640625
10,273,39.5141601562
10,276,40.9606933594
10,279,42.5903320312
10,282,44.5129394531
10,285,46.7834472656
10,288,49.3835449219
10,291,52.4780273438
10,294,56.1401367188
10,297,60.5529785156
10,300,65.8996582031
10,303,72.509765625
10,306,80.8227539062
10,309,91.552734375
10,312,105.816650391
10,315,125.738525391
10,318,156.079101562
10,321,181.93359375
10,324,122.479248047
10,327,95.7824707031
10,330,82.1960449219
10,333,73.5534667969
10,336,67.4743652344
10,339,62.9150390625
10,342,59.4177246094
10,345,56.6345214844
10,348,54.4372558594
10,351,52.6611328125
10,354,51.2512207031
10,357,50.1342773438
10,360,49.2919921875
11,0,50.830078125
11,3,50.1892089844
11,6,49.7680664062
11,9,49.5300292969
11,12,49.4201660156
11,15,49.4384765625
11,18,49.5849609375
11,21,49.8779296875
