L,h,C_max
3,216,15.5822753906
3,219,16.1499023438
3,222,16.7724609375
3,225,17.5048828125
3,228,18.3288574219
3,231,19.2626953125
3,234,20.3247070312
3,237,21.5515136719
3,240,22.9431152344
3,243,24.5361328125
3,246,26.3854980469
3,249,28.4545898438
3,252,30.8166503906
3,255,33.4899902344
3,258,36.5112304688
3,261,39.8620605469
3,264,43.5607910156
3,267,47.607421875
3,270,51.9653320312
3,273,56.6528320312
3,276,61.669921875
3,279,66.9799804688
3,282,72.6196289062
3,285,78.662109375
3,288,85.4187011719
3,291,93.7133789062
3,294,102.758789062
3,297,100.250244141
3,300,89.5935058594
3,303,66.6137695312
3,306,52.2033691406
3,309,44.2749023438
3,312,39.0747070312
3,315,35.3393554688
3,318,32.4829101562
3,321,30.2307128906
3,324,28.3996582031
3,327,26.8981933594
3,330,25.6530761719
3,333,24.5910644531
3,336,23.7121582031
3,339,22.9614257812
3,342,22.3205566406
3,345,21.7895507812
3,348,21.3134765625
3,351,20.9289550781
3,354,20.6176757812
3,357,20.361328125
3,360,20.1599121094
4,0,26.0925292969
4,3,25.9460449219
4,6,25.8728027344
4,9,25.8728027344
4,12,25.9460449219
4,15,26.07421875
4,18,22.3022460938
4,21,19.2077636719
4,24,16.9189453125
4,27,15.1428222656
4,30,13.7512207031
4,33,12.6159667969
4,36,11.6821289062
4,39,10.9130859375
4,42,10.2722167969
4,45,9.70458984375
4,48,9.24682617188
4,51,8.82568359375
4,54,8.47778320312
4,57,8.18481445312
4,60,7.92846679688
4,63,7.6904296875
4,66,7.50732421875
4,69,7.34252929688
4,72,7.21435546875
4,75,7.1044921875
4,78,7.01293945312
4,81,6.93969726562
4,84,6.884765625
4,87,6.86645507812
4,90,6.84814453125
4,93,6.86645507812
4,96,6.884765625
4,99,6.93969726562
4,102,7.01293945312
4,105,7.08618164062
4,108,7.19604492188
4,111,7.34252929688
4,114,7.48901367188
4,117,7.6904296875
4,120,7.91015625
4,123,8.16650390625
4,126,8.45947265625
4,129,8.80737304688
4,132,9.19189453125
4,135,9.64965820312
4,138,10.1989746094
4,141,10.8032226562
4,144,11.5173339844
4,147,12.3413085938
4,150,13.2568359375
4,153,14.1906738281
4,156,15.0512695312
4,159,15.8203125
4,162,16.3696289062
4,165,16.6442871094
4,168,16.7907714844
4,171,16.845703125
4,174,16.9006347656
4,177,16.9372558594
4,180,16.9921875
4,183,17.0837402344
4,186,17.1936035156
4,189,17.3217773438
4,192,17.5048828125
4,195,17.724609375
4,198,17.9809570312
4,201,18.2922363281
4,204,18.6584472656
4,207,19.0795898438
4,210,19.5556640625
4,213,20.1232910156
4,216,20.7458496094
4,219,21.4599609375
4,222,22.2473144531
4,225,23.14453125
4,228,24.169921875
4,231,25.3234863281
4,234,26.6052246094
4,237,28.0517578125
4,240,29.6813964844
4,243,31.5124511719
4,246,33.544921875
4,249,35.7971191406
4,252,38.2873535156
4,255,41.0339355469
4,258,44.0551757812
4,261,47.314453125
4,264,50.8666992188
4,267,54.6936035156
4,270,58.7768554688
4,273,63.1530761719
4,276,67.822265625
4,279,72.802734375
4,282,78.1494140625
4,285,84.1186523438
4,288,91.3146972656
4,291,100.177001953
4,294,111.346435547
4,297,115.301513672
4,300,109.350585938
4,303,90.5456542969
4,306,69.9829101562
4,309,58.2458496094
4,312,50.9033203125
4,315,45.7763671875
4,318,41.9311523438
4,321,38.9282226562
4,324,36.5295410156
4,327,34.5703125
4,330,32.9406738281
4,333,31.5856933594
4,336,30.4321289062
